,name,hand,country,birthday,rank,winner,sets,total_pts,service_pts,return_pts,aces,bp_saved,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per,round,date,avg_minutes_game,avg_seconds_point,avg_minutes_set,tournament,year,match_minutes
0,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,94.0,52.0,42.0,11.0,1.0,17.0,25.0,46.0,6.0,0.5974025974025974,1st Round,2019-01-15,4.26,42.9,38.3,Australian Open,2019,115.0
1,Aljaz Bedene,R,SLO,1989-07-18,67.0,False,0.0,67.0,42.0,25.0,7.0,2.0,8.0,17.0,51.0,2.0,0.6071428571428571,1st Round,2019-01-15,4.26,42.9,38.3,Australian Open,2019,115.0
2,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,177.0,119.0,58.0,29.0,10.0,32.0,26.0,116.0,13.0,0.6946107784431138,2nd Round,2019-01-17,4.26,39.9,45.2,Australian Open,2019,226.0
3,Jeremy Chardy,R,FRA,1987-02-12,36.0,False,2.0,163.0,115.0,48.0,14.0,12.0,22.0,26.0,118.0,3.0,0.6820809248554913,2nd Round,2019-01-17,4.26,39.9,45.2,Australian Open,2019,226.0
4,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,99.0,58.0,41.0,14.0,5.0,21.0,20.0,55.0,4.0,0.6470588235294118,3rd Round,2019-01-19,4.31,38.4,37.3,Australian Open,2019,112.0
5,Alex Bolt,L,AUS,1993-01-05,155.0,False,0.0,76.0,49.0,27.0,5.0,6.0,16.0,11.0,58.0,1.0,0.6444444444444445,3rd Round,2019-01-19,4.31,38.4,37.3,Australian Open,2019,112.0
6,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,121.0,74.0,47.0,17.0,12.0,16.0,31.0,76.0,5.0,0.6608695652173913,1st Round,2018-01-16,4.58,39.1,47.3,Australian Open,2018,142.0
7,Thomas Fabbiano,R,ITA,1989-05-26,73.0,False,0.0,97.0,56.0,41.0,5.0,5.0,22.0,19.0,51.0,6.0,0.4951456310679611,1st Round,2018-01-16,4.58,39.1,47.3,Australian Open,2018,142.0
8,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,121.0,74.0,47.0,25.0,1.0,21.0,26.0,70.0,1.0,0.6796116504854369,2nd Round,2018-01-18,3.4,33.4,29.8,Australian Open,2018,119.0
9,Peter Gojowczyk,R,GER,1989-07-15,62.0,False,1.0,93.0,64.0,29.0,9.0,12.0,15.0,14.0,68.0,5.0,0.6126126126126126,2nd Round,2018-01-18,3.4,33.4,29.8,Australian Open,2018,119.0
